Date,Open,High,Low,Close,Adj Close,Volume
2020-03-09,49.209999,50.750000,48.060001,50.279999,50.279999,18400
2020-03-10,49.470001,50.610001,49.150002,49.980000,49.980000,36600
2020-03-11,49.430000,49.470001,48.900002,49.200001,49.200001,15200
2020-03-12,43.360001,45.299999,42.529999,44.220001,44.220001,48100
2020-03-13,45.500000,45.500000,43.150002,45.320000,45.320000,57600
2020-03-16,43.730000,44.340000,42.310001,44.029999,44.029999,40400
2020-03-17,42.040001,42.259998,38.599998,41.139999,41.139999,65500
2020-03-18,39.380001,40.820000,36.110001,36.779999,36.779999,20500
2020-03-19,35.320000,38.009998,35.279999,37.200001,37.200001,30700
2020-03-20,35.000000,38.790001,35.000000,37.139999,37.139999,25500
2020-03-23,35.779999,39.470001,35.060001,36.860001,36.860001,25900
2020-03-24,39.470001,45.450001,39.470001,42.860001,42.860001,18200
2020-03-25,42.259998,49.150002,42.259998,44.680000,44.680000,16700
2020-03-26,41.880001,41.880001,39.930000,40.610001,40.610001,16300
2020-03-27,39.959999,39.959999,38.200001,39.549999,39.549999,23500
2020-03-30,40.000000,41.270000,38.650002,39.700001,39.700001,18000
2020-03-31,39.730000,41.270000,39.730000,40.270000,40.270000,16200
2020-04-01,38.040001,39.430000,38.040001,38.369999,38.369999,23500
2020-04-02,37.689999,38.259998,37.540001,38.000000,38.000000,23800
2020-04-03,38.000000,38.599998,37.820000,38.270000,38.270000,37100
2020-04-06,39.000000,39.299999,38.619999,39.299999,39.299999,50600
2020-04-07,40.360001,41.820000,39.689999,39.750000,39.750000,43700
2020-04-08,40.200001,42.880001,40.200001,42.740002,42.740002,35600
2020-04-09,42.529999,43.900002,42.439999,43.400002,43.400002,24100
2020-04-13,45.430000,45.430000,42.880001,42.900002,42.900002,11900
2020-04-14,44.070000,45.349998,44.070000,45.340000,45.340000,59200
2020-04-15,45.029999,45.029999,44.189999,44.349998,44.349998,74700
2020-04-16,44.340000,44.599998,44.200001,44.400002,44.400002,38700
2020-04-17,46.230000,46.560001,46.020000,46.209999,46.209999,16200
2020-04-20,45.700001,46.000000,45.169998,45.520000,45.520000,25300
2020-04-21,44.419998,44.419998,43.529999,43.939999,43.939999,27000
2020-04-22,45.200001,45.369999,44.770000,45.340000,45.340000,10200
2020-04-23,45.029999,45.389999,44.820000,44.869999,44.869999,10900
2020-04-24,44.500000,44.910000,44.459999,44.790001,44.790001,8100
2020-04-27,45.099998,45.990002,44.869999,45.720001,45.720001,17700
2020-04-28,46.700001,46.700001,46.130001,46.130001,46.130001,18700
2020-04-29,47.200001,47.689999,47.200001,47.459999,47.459999,19200
2020-04-30,48.320000,48.320000,47.290001,47.740002,47.740002,41800
2020-05-01,47.500000,47.790001,47.259998,47.459999,47.459999,49600
